Rank,Team,Wins,Losses,Perc,Sets Played,Kills,Errors,Attempts,Perc,,,,,,,,,,,
-,San Diego St.,12,11,0.522,93,1169,551,3177,0.195,,,,,,,,,,,
-,Texas St.,12,11,0.522,88,1109,481,2961,0.212,,,,,,,,,,,
-,Wyoming,12,11,0.522,90,1156,448,3272,0.216,,,,,,,,,,,
169,Bethune-Cookman,13,12,0.52,94,1121,474,3310,0.195,,,,,,,,,,,
-,Chattanooga,13,12,0.52,96,1177,489,3399,0.202,,,,,,,,,,,
-,Saint Louis,13,12,0.52,93,1162,545,3265,0.189,,,,,,,,,,,
172,Bowling Green,13,13,0.5,101,1267,585,3425,0.199,,,,,,,,,,,
-,Georgetown,13,13,0.5,101,1205,482,3295,0.219,,,,,,,,,,,
-,Miami (OH),13,13,0.5,102,1204,498,3723,0.19,,,,,,,,,,,
-,Air Force,12,12,0.5,90,1166,529,3260,0.195,,,,,,,,,,,
-,Little Rock,12,12,0.5,90,1168,522,3460,0.187,,,,,,,,,,,
-,Southern Ind.,12,12,0.5,90,1080,482,3395,0.176,,,,,,,,,,,
-,Alabama,11,11,0.5,81,1007,468,2748,0.196,,,,,,,,,,,
-,Jackson St.,11,11,0.5,81,992,459,2497,0.213,,,,,,,,,,,
-,Lipscomb,11,11,0.5,79,1081,424,2680,0.245,,,,,,,,,,,
-,Montana St.,11,11,0.5,86,1052,469,3023,0.193,,,,,,,,,,,
-,NC State,11,11,0.5,83,991,427,2983,0.189,,,,,,,,,,,
-,Navy,11,11,0.5,90,1136,453,3202,0.213,,,,,,,,,,,
-,Niagara,11,11,0.5,84,1017,443,3154,0.182,,,,,,,,,,,
-,UNLV,11,11,0.5,83,1114,432,2959,0.23,,,,,,,,,,,
-,Utah,11,11,0.5,84,1065,489,2835,0.203,,,,,,,,,,,
-,Lindenwood,10,10,0.5,74,965,425,2568,0.21,,,,,,,,,,,
-,Penn,10,10,0.5,73,1007,353,2783,0.235,,,,,,,,,,,
189,Western Mich.,13,14,0.481,105,1306,555,3979,0.189,,,,,,,,,,,
190,Butler,12,13,0.48,90,1100,513,3118,0.188,,,,,,,,,,,
-,Houston Christian,12,13,0.48,85,1105,500,3104,0.195,,,,,,,,,,,
-,North Ala.,12,13,0.48,96,1247,455,3342,0.237,,,,,,,,,,,
-,Rider,12,13,0.48,96,1193,524,3203,0.209,,,,,,,,,,,
-,SIUE,12,13,0.48,99,1243,573,3521,0.19,,,,,,,,,,,
-,Youngstown St.,12,13,0.48,97,1256,423,3460,0.241,,,,,,,,,,,
196,Binghamton,11,12,0.478,87,1115,424,3123,0.221,,,,,,,,,,,
-,East Carolina,11,12,0.478,86,1045,419,2916,0.215,,,,,,,,,,,
-,LSU,11,12,0.478,89,1126,480,2966,0.218,,,,,,,,,,,
-,NIU,11,12,0.478,92,1115,549,3215,0.176,,,,,,,,,,,
-,Ole Miss,11,12,0.478,89,1136,487,3018,0.215,,,,,,,,,,,
-,UTSA,11,12,0.478,85,1030,474,3005,0.185,,,,,,,,,,,
202,Morgan St.,10,11,0.476,80,911,402,2449,0.208,,,,,,,,,,,
-,Stony Brook,10,11,0.476,80,933,406,2756,0.191,,,,,,,,,,,
204,UMBC,9,10,0.474,79,982,446,2744,0.195,,,,,,,,,,,
205,Tennessee Tech,12,14,0.462,96,1207,610,3348,0.178,,,,,,,,,,,
206,Bellarmine,11,13,0.458,91,1096,534,3174,0.177,,,,,,,,,,,
-,Bradley,11,13,0.458,94,1179,484,3339,0.208,,,,,,,,,,,
-,Jacksonville St.,11,13,0.458,94,1127,544,3075,0.19,,,,,,,,,,,
-,Northern Colo.,11,13,0.458,99,1236,531,3237,0.218,,,,,,,,,,,
-,Rutgers,11,13,0.458,82,1046,433,2488,0.246,,,,,,,,,,,
211,Lehigh,10,12,0.455,81,1006,428,2654,0.218,,,,,,,,,,,
-,Portland,10,12,0.455,78,953,395,2543,0.219,,,,,,,,,,,
-,Portland St.,10,12,0.455,89,1116,456,3120,0.212,,,,,,,,,,,
-,Virginia,10,12,0.455,86,966,445,2702,0.193,,,,,,,,,,,
-,Washington,10,12,0.455,83,1031,400,2716,0.232,,,,,,,,,,,
216,Eastern Mich.,12,15,0.444,103,1261,587,3757,0.179,,,,,,,,,,,
217,Abilene Christian,11,14,0.44,98,1254,615,3376,0.189,,,,,,,,,,,
-,Providence,11,14,0.44,93,1144,472,3257,0.206,,,,,,,,,,,
-,UAB,11,14,0.44,92,1117,422,2911,0.239,,,,,,,,,,,
220,Missouri St.,10,13,0.435,88,1070,406,2993,0.222,,,,,,,,,,,
-,New Mexico,10,13,0.435,88,1070,422,3051,0.212,,,,,,,,,,,
-,San Jose St.,10,13,0.435,94,1152,531,3280,0.189,,,,,,,,,,,
-,Texas Tech,10,13,0.435,89,1043,518,3034,0.173,,,,,,,,,,,
-,Tulane,10,13,0.435,90,1115,451,3374,0.197,,,,,,,,,,,
